Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
5/1,18,8,9,8,9,9,17,10,2,9,9,44,50,13,12,16,9,72,26,50,16,13,14,8,16,40,21,9,21,20,10,12,11,30,24,12,8,8,9,95,11,94,7,9,8,71,13,9,14,11,,1044
5/2,15,35,9,14,9,11,19,45,84,9,18,14,8,10,9,16,11,22,20,8,11,64,39,9,32,44,90,12,17,55,9,8,10,36,56,13,57,14,10,2,37,77,32,12,19,,9,19,9,10,9,1207
5/3,9,21,8,31,14,16,9,67,55,10,19,24,76,10,17,83,18,31,25,8,55,27,24,26,24,15,55,29,13,59,8,94,16,32,4,14,46,44,9,59,54,8,7,14,40,,64,16,61,9,9,1486
5/4,42,42,15,8,9,15,34,77,10,10,37,30,22,16,59,60,13,89,61,20,26,58,29,30,50,45,58,19,30,31,14,72,18,23,,9,13,48,8,6,7,,18,16,12,,9,9,9,10,,1346
5/5,11,8,18,31,21,36,14,35,13,16,25,57,33,56,12,73,43,65,54,10,16,13,58,25,16,38,4,77,13,84,21,42,77,74,67,23,22,59,9,92,50,10,45,40,44,98,87,61,85,30,74,2085
5/6,12,13,9,41,12,30,44,12,8,13,17,19,30,12,27,13,18,66,77,2,12,24,35,16,28,10,,50,40,6,12,,22,58,52,12,2,45,9,76,8,8,34,14,47,76,15,54,13,11,,1264
5/7,7,27,12,8,8,11,8,8,17,9,4,8,,8,9,49,19,18,2,83,8,9,9,18,4,9,8,58,9,92,3,35,10,8,47,6,5,16,7,88,7,5,17,7,17,,9,16,9,9,,860
5/8,37,8,7,9,9,14,17,28,78,9,8,8,17,26,15,46,12,44,12,8,9,12,13,34,49,20,,94,41,,10,13,19,10,98,16,6,52,9,12,6,91,29,9,7,,15,20,14,8,,1128
5/9,91,17,92,93,94,92,89,92,75,84,92,92,89,93,93,89,92,93,90,92,91,92,93,93,87,93,5,91,93,94,94,92,93,91,90,92,85,92,92,86,91,74,92,94,90,96,88,92,87,91,94,4462
5/10,86,73,83,69,92,89,76,80,54,38,83,81,43,91,90,81,38,35,50,78,91,91,91,88,45,81,84,64,92,74,92,90,92,87,82,81,68,91,84,89,76,42,72,89,84,85,71,90,69,68,,3813
