Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhodie Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
5/1,9,55,21,15,14,10,9,8,9,16,9,20,10,9,31,40,14,42,23,40,14,17,11,10,11,15,,19,42,22,11,5,10,18,8,10,36,17,14,7,32,,30,9,71,,20,18,27,44,8,960
5/2,15,85,18,41,10,16,7,50,78,57,24,64,8,14,18,15,56,21,73,86,86,41,38,19,15,33,,5,29,,24,21,20,50,92,62,51,9,43,31,21,84,59,22,78,,68,46,70,10,,1883
5/3,10,,15,60,41,54,16,83,,73,43,95,9,22,56,79,80,88,74,,57,88,22,90,27,39,94,14,67,84,17,56,70,62,,15,50,78,23,53,69,94,60,60,77,,90,68,90,34,,2546
5/4,26,,22,9,15,43,22,19,8,40,67,39,,39,20,19,8,16,54,10,10,45,18,40,15,55,,79,60,16,14,,17,38,60,9,9,12,16,2,32,94,7,62,61,86,25,31,18,57,,1464
5/5,8,,16,91,42,14,45,63,85,66,12,65,,13,13,36,95,68,9,2,42,10,18,9,90,68,18,67,17,,38,9,25,42,,7,,5,17,,4,91,55,14,25,9,21,11,19,58,,1532
5/6,37,,36,18,12,15,80,29,6,40,60,16,10,10,33,89,20,92,1,51,55,45,12,56,88,45,,,69,,21,,21,55,18,41,4,16,24,9,55,4,31,59,36,,12,12,11,39,53,1546
5/7,9,11,7,47,9,9,8,16,23,16,10,17,84,10,26,25,51,31,20,90,24,13,9,13,42,41,,83,9,35,9,44,14,17,,24,77,2,8,19,33,6,33,20,41,,14,9,12,8,,1178
5/8,74,12,50,87,61,32,81,86,55,86,69,75,58,16,89,45,85,9,55,31,49,69,16,82,63,70,,62,58,,65,44,81,82,29,35,52,33,77,8,90,60,38,45,24,5,79,68,72,14,,2626
5/9,56,9,59,32,25,60,27,39,2,83,73,18,55,56,68,18,23,83,50,17,35,15,81,45,72,27,31,34,45,99,24,87,62,91,92,27,27,16,55,61,84,6,11,64,41,80,71,63,58,22,,2379
5/10,9,8,7,8,6,9,7,8,7,8,10,9,5,7,6,22,8,63,16,9,9,7,6,8,13,9,8,10,7,8,9,12,7,10,8,8,17,11,9,24,19,9,11,8,10,,7,7,7,7,8,525
